"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @frasesdegays: viado e sapatão tbm tem namorada noivo esposa

companheiros e companheiras tem o lula",FALSE,0,NA,2018-05-09 20:29:54,FALSE,NA,"994313535281868805",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pomacartinei",5792,TRUE,FALSE,NA,NA
"@JornalOGlobo E continua a perseguição a Lula. Está preso por um triplex que nunca foi dele. E agora querem que ele… https://t.co/NfCqExm8SG",FALSE,0,"JornalOGlobo",2018-05-09 20:29:53,TRUE,"994267515617497088","994313527568592896","54341363","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PedroGeber",0,FALSE,FALSE,NA,NA
"Vereador Marcelino, na Câmara Municipal de Camaçari (BA), responde a um vereador rico, branco e de direita: Doutor,… https://t.co/4jvIOPnOv3",FALSE,0,NA,2018-05-09 20:29:52,TRUE,NA,"994313525257560064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EstancaAsangria",0,FALSE,FALSE,NA,NA
"RT @chorandonaboate: Eu: não demonstro posicionamento político

*Alguém fala mal de Lula*

Eu: https://t.co/obepExLM8N",FALSE,0,NA,2018-05-09 20:29:48,FALSE,NA,"994313508098596866",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chorandonaboate",13,TRUE,FALSE,NA,NA
"RT @CarlosBolsonaro: Tem mais gente chorando pela desistência do Lula Barbosa que pessoas rindo do Lindbergh vendendo pamonha! A verdade se…",FALSE,0,NA,2018-05-09 20:29:47,FALSE,NA,"994313505837903872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","r_arraval",275,TRUE,FALSE,NA,NA
"RT @cbofillr: Aquí no actuó Odebrecht, pero sí OAS. Lula está preso por coima de OAS, que financió campaña de MEO y Bachelet. Abbot dice qu…",FALSE,0,NA,2018-05-09 20:29:47,FALSE,NA,"994313504751538176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BitranSergio",9,TRUE,FALSE,NA,NA
"RT @ConversaAfiada: Prisão de Lula não aprisiona a candidatura
Entenda: https://t.co/Dy9g21yiWk https://t.co/xoMwphi6tF",FALSE,0,NA,2018-05-09 20:29:47,FALSE,NA,"994313503505829888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElaineLulaPT",76,TRUE,FALSE,NA,NA
"RT @marciongalvao: Excelente artigo de Fernando Brito: O POVO TEM SUAS RAZÕES E UM LÍDER, QUE É LULA! Precisa dizer mais? LEIA O ARTIGO! Im…",FALSE,0,NA,2018-05-09 20:29:46,FALSE,NA,"994313497914863616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vlaoaot",2,TRUE,FALSE,NA,NA
"RT @BebelSherab: @jefer234 A prisão Golden Tulip do Lula é disputada para reuniões informais hein?",FALSE,0,NA,2018-05-09 20:29:45,FALSE,NA,"994313495905820673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jefer234",1,TRUE,FALSE,NA,NA
"RT @edmilsonpapo10: Cheguei agora da padaria, na fila tinha uma menina de 4 anos e um menino de 5, ela disse ""Lula Livre"" ele disse ""Matheu…",FALSE,0,NA,2018-05-09 20:29:43,FALSE,NA,"994313488645476353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gizelle_galvao",95,TRUE,FALSE,NA,NA
"RT @claudioedantas: 112 viagens da família de Lula ao sítio que não é de Lula https://t.co/qAxpcnCzzj",FALSE,0,NA,2018-05-09 20:29:40,FALSE,NA,"994313475894759424",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cbriquet",64,TRUE,FALSE,NA,NA
"@lula_A96 <U+0648><U+0627><U+0627><U+0627><U+0627><U+064A> <U+0645><U+0646> <U+0628><U+062F><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0645><U+0633><U+062A><U+0631><ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"lula_A96",2018-05-09 20:29:40,FALSE,"994254393544503296","994313475064246272","890236429460230144","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a7medtooty",0,FALSE,FALSE,NA,NA
"RT @andreoli69: “Se Lula é inocente, se a maioria do povo quer votar nele, se à luz da Constituição seus direitos políticos estão assegurad…",FALSE,0,NA,2018-05-09 20:29:39,FALSE,NA,"994313469355876352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lula_13_Livre",20,TRUE,FALSE,NA,NA
"RT @Ca_Moredi: Depois de confirmada condenação de Lula-pai, agora a sujeira dos Lula-filhos começam a aparecer. https://t.co/usA0X34aBa",FALSE,0,NA,2018-05-09 20:29:39,FALSE,NA,"994313468743385088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maryzina",5,TRUE,FALSE,NA,NA
"RT @jose_neumanne: Sem tirar a máscara: Joaquim Barbosa renunciou à candidatura presidencial para não ter de explicar por que manteve chefã…",FALSE,0,NA,2018-05-09 20:29:38,FALSE,NA,"994313467577425920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tmantello",310,TRUE,FALSE,NA,NA
"RT @falandoverdes2: Historiador suíço mostra por que Lula é um preso político https://t.co/x9z6y69Vyr",FALSE,0,NA,2018-05-09 20:29:37,FALSE,NA,"994313464062627840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","telalapa",54,TRUE,FALSE,NA,NA
"RT @esmaelmorais: Gleisi: “Lula será nosso candidato” https://t.co/U7kXYYVY33 https://t.co/bOMr4Pi6wc",FALSE,0,NA,2018-05-09 20:29:35,FALSE,NA,"994313455346864128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CarlosFollador",9,TRUE,FALSE,NA,NA
"RT @curitibagazeta: SANTA CÂNDIDA

Greca cobra dos desembargadores do TRF-4 uma solução para o acampamento pró-Lula em Curitiba - https://t…",FALSE,0,NA,2018-05-09 20:29:32,FALSE,NA,"994313440813637632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flaviamcs13",4,TRUE,FALSE,NA,NA
"RT @falandoverdes2: Historiador suíço mostra por que Lula é um preso político https://t.co/x9z6y69Vyr",FALSE,0,NA,2018-05-09 20:29:32,FALSE,NA,"994313439358136321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blimadelima",54,TRUE,FALSE,NA,NA
"RT @mariadorosario: O Presidente Lula já nos enviou a diretriz: será candidato à Presidência da República para assegurar direitos para os t…",FALSE,0,NA,2018-05-09 20:29:31,FALSE,NA,"994313437131010051",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pauloeduwcski",35,TRUE,FALSE,NA,NA
"RT @QueileSoares: Juíza de Curitiba proíbe órgão internacional de fiscalizar condições carcerárias de Lula https://t.co/dvAgPMeT7L via @bra…",FALSE,0,NA,2018-05-09 20:29:27,FALSE,NA,"994313420353822720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","al17212",30,TRUE,FALSE,NA,NA
"RT @estadohir4mico: lula, o ""preso político"" com cela especial só pra ele, Ipod, esteira e médico a disposição. Ainda bem que temos interne…",FALSE,0,NA,2018-05-09 20:29:27,FALSE,NA,"994313419472941056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","riolimaf",39,TRUE,FALSE,NA,NA
"RT @brasil247: Rui Costa Pimenta: esquerda ficará isolada se não apoiar Lula; assista à entrevista https://t.co/rZG8XH8u5L",FALSE,0,NA,2018-05-09 20:29:26,FALSE,NA,"994313415526055936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IsaakDinensen",3,TRUE,FALSE,NA,NA
"RT @AnisterjaneFerr: Se não pagar os militontos não seguram nem a bandeira do PT. Palavras do Lula ladrão! https://t.co/E0xNIT1f87",FALSE,0,NA,2018-05-09 20:29:26,FALSE,NA,"994313415521906689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BRBARALYS",4,TRUE,FALSE,NA,NA
"RT @AnisterjaneFerr: Se não pagar os militontos não seguram nem a bandeira do PT. Palavras do Lula ladrão! https://t.co/E0xNIT1f87",FALSE,0,NA,2018-05-09 20:29:26,FALSE,NA,"994313415064801280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jjamob63",4,TRUE,FALSE,NA,NA
